candle-end,open_time_unix,open,high,low,close,volume,close_time_unix,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore,candle-start
2017-08-17 04:59:59.999,1502942400000,301.13,302.57,298.0,301.61,125.66877,1502945999999,37684.804181,129,80.56377,24193.440789,47039.70675719,2017-08-17 04:00:00.000
2017-08-17 05:59:59.999,1502946000000,301.61,303.28,300.0,303.1,377.67246,1502949599999,114043.2826764,202,328.10428,99079.8035686,47250.80517462,2017-08-17 05:00:00.000
2017-08-17 06:59:59.999,1502949600000,302.4,304.44,301.9,302.68,303.86672,1502953199999,92034.4412939,182,259.28668,78525.9486127,47176.44458354,2017-08-17 06:00:00.000
2017-08-17 07:59:59.999,1502953200000,302.68,307.96,302.6,307.96,754.7451,1502956799999,229725.1369672,198,592.43176,180297.9669609,46884.54339102,2017-08-17 07:00:00.000
2017-08-17 08:59:59.999,1502956800000,307.95,309.97,307.0,308.62,150.75029,1502960399999,46559.4623707,182,140.6847,43451.4953978,46771.05734185,2017-08-17 08:00:00.000
2017-08-17 09:59:59.999,1502960400000,308.62,312.0,308.62,310.0,469.27879,1502963999999,145510.063225,198,438.71878,136034.1577083,46737.41039768,2017-08-17 09:00:00.000
2017-08-17 10:59:59.999,1502964000000,310.0,310.97,308.54,309.3,284.3914,1502967599999,88083.8664,198,264.55324,81938.8600626,46726.16936455,2017-08-17 10:00:00.000
2017-08-17 11:59:59.999,1502967600000,308.3,310.68,307.78,308.95,273.2904,1502971199999,84391.9244058,197,249.89213,77163.089515,46866.63079951,2017-08-17 11:00:00.000
2017-08-17 12:59:59.999,1502971200000,308.95,310.51,307.98,308.62,401.79278,1502974799999,124016.8229652,232,382.13691,117937.5824272,47096.00227307,2017-08-17 12:00:00.000
2017-08-17 13:59:59.999,1502974800000,308.62,309.72,307.77,309.4,310.58042,1502978399999,95966.3789217,231,296.76116,91702.629035,47287.00205330,2017-08-17 13:00:00.000
2017-08-17 14:59:59.999,1502978400000,307.77,308.71,305.49,306.5,710.25965,1502981999999,218060.0493271,243,627.17946,192533.05544,47703.08560401,2017-08-17 14:00:00.000
2017-08-17 15:59:59.999,1502982000000,306.5,308.76,303.56,307.06,459.41982,1502985599999,140601.6806764,434,436.06889,133453.8731169,47528.18909052,2017-08-17 15:00:00.000
2017-08-17 16:59:59.999,1502985600000,307.74,312.18,298.21,308.0,596.81077,1502989199999,182453.7846001,422,512.17019,156798.0272299,48185.52512534,2017-08-17 16:00:00.000
2017-08-17 17:59:59.999,1502989200000,308.0,308.33,303.98,308.33,191.94856,1502992799999,58976.5722809,178,187.38705,57573.1365117,48911.68953077,2017-08-17 17:00:00.000
2017-08-17 18:59:59.999,1502992800000,308.33,311.53,298.96,309.1,203.6548,1502996399999,62722.6365026,183,188.34465,58034.0742837,48761.17342281,2017-08-17 18:00:00.000
2017-08-17 19:59:59.999,1502996400000,309.1,309.84,301.6,301.6,215.63779,1502999999999,66056.0580836,174,209.41831,64140.9417568,48886.75337014,2017-08-17 19:00:00.000
2017-08-17 20:59:59.999,1503000000000,301.6,309.4,299.01,304.79,272.42251,1503003599999,82882.4936348,241,238.04363,72453.0283972,49152.64520440,2017-08-17 20:00:00.000
2017-08-17 21:59:59.999,1503003600000,304.79,309.4,304.04,307.44,330.54526,1503007199999,101419.0458485,255,276.50064,84807.4651224,49281.26073673,2017-08-17 21:00:00.000
2017-08-17 22:59:59.999,1503007200000,308.57,310.74,303.44,306.74,368.36785,1503010799999,113373.2170421,222,320.67801,98807.9631269,50288.90511454,2017-08-17 22:00:00.000
2017-08-17 23:59:59.999,1503010800000,306.74,310.85,302.0,302.0,229.6062,1503014399999,70093.5789536,221,195.66575,59778.8294676,50579.87228839,2017-08-17 23:00:00.000
2017-08-18 00:59:59.999,1503014400000,302.0,306.2,297.4,301.19,501.26558,1503017999999,151407.1215061,244,400.96944,121075.3538884,50828.73404005,2017-08-18 00:00:00.000
2017-08-18 01:59:59.999,1503018000000,300.08,305.55,295.19,298.73,374.41661,1503021599999,112326.1799837,211,350.01032,104986.6587293,50782.76608647,2017-08-18 01:00:00.000
2017-08-18 02:59:59.999,1503021600000,298.73,304.7,298.73,300.52,208.96849,1503025199999,63098.5825677,177,194.11739,58588.7130607,50744.41542427,2017-08-18 02:00:00.000
2017-08-18 03:59:59.999,1503025200000,300.05,306.47,300.05,301.4,605.93251,1503028799999,183852.1818643,327,331.25425,100452.8026966,51205.10800759,2017-08-18 03:00:00.000
2017-08-18 04:59:59.999,1503028800000,301.4,302.95,298.41,301.8,444.33795,1503032399999,133774.8462397,227,377.94231,113783.4983811,51184.54541958,2017-08-18 04:00:00.000
2017-08-18 05:59:59.999,1503032400000,301.8,305.92,300.0,304.7,525.33357,1503035999999,159515.2839358,337,473.47658,143786.3772798,52168.05742462,2017-08-18 05:00:00.000
2017-08-18 06:59:59.999,1503036000000,304.7,307.0,303.21,307.0,356.1222,1503039599999,108751.7696297,298,336.51812,102752.3997683,51832.72494653,2017-08-18 06:00:00.000
2017-08-18 07:59:59.999,1503039600000,307.0,309.49,305.23,306.24,406.73244,1503043199999,125068.7082843,206,389.1194,119673.0037495,52708.21645626,2017-08-18 07:00:00.000
2017-08-18 08:59:59.999,1503043200000,306.24,310.85,303.79,304.23,313.23742,1503046799999,96663.3590381,229,269.59649,83204.7712453,52963.46600100,2017-08-18 08:00:00.000
2017-08-18 09:59:59.999,1503046800000,304.23,307.72,303.22,304.71,306.05941,1503050399999,93189.1244666,239,284.94231,86754.7788714,53351.86810746,2017-08-18 09:00:00.000
2017-08-18 10:59:59.999,1503050400000,304.73,311.06,304.73,308.88,332.5643,1503053999999,102119.4203451,226,297.72711,91421.6881253,53113.31687262,2017-08-18 10:00:00.000
2017-08-18 11:59:59.999,1503054000000,308.88,311.79,306.27,307.78,261.1517,1503057599999,80940.0971408,190,212.75837,65992.146904,53419.38354110,2017-08-18 11:00:00.000
2017-08-18 12:59:59.999,1503057600000,307.78,310.29,305.73,308.47,388.17208,1503061199999,119593.4610073,227,306.742,94607.5712772,53607.24965359,2017-08-18 12:00:00.000
2017-08-18 13:59:59.999,1503061200000,307.17,309.66,301.3,303.22,357.19041,1503064799999,109071.071693,229,294.88278,90173.3430929,53837.42078914,2017-08-18 13:00:00.000
2017-08-18 14:59:59.999,1503064800000,303.22,303.22,296.32,298.52,398.64644,1503068399999,119383.7094577,238,371.05596,111143.1284128,54331.04723158,2017-08-18 14:00:00.000
2017-08-18 15:59:59.999,1503068400000,298.52,300.99,297.32,298.8,214.98578,1503071999999,64155.4667363,188,191.01746,56981.7571569,54157.36861102,2017-08-18 15:00:00.000
2017-08-18 16:59:59.999,1503072000000,298.8,301.11,295.64,299.21,403.96386,1503075599999,121118.9559656,219,363.96541,109178.1787437,54450.03093778,2017-08-18 16:00:00.000
2017-08-18 17:59:59.999,1503075600000,297.5,299.21,293.18,295.53,359.12225,1503079199999,106685.9303509,179,335.5437,99709.2136328,54827.36681822,2017-08-18 17:00:00.000
2017-08-18 18:59:59.999,1503079200000,295.53,298.25,289.75,289.75,412.39491,1503082799999,121210.6946657,228,306.61433,90336.6729234,55077.61100205,2017-08-18 18:00:00.000
2017-08-18 19:59:59.999,1503082800000,289.75,295.6,287.37,293.83,445.23397,1503086399999,129850.3304485,259,296.98434,86725.4956437,55038.10651699,2017-08-18 19:00:00.000
2017-08-18 20:59:59.999,1503086400000,295.46,295.46,288.25,291.87,748.21537,1503089999999,217316.0046309,276,303.46658,88446.7866493,55171.90714110,2017-08-18 20:00:00.000
2017-08-18 21:59:59.999,1503090000000,291.87,291.87,283.94,286.3,602.03512,1503093599999,173970.7172291,279,466.53903,135008.8689889,55289.81780153,2017-08-18 21:00:00.000
2017-08-18 22:59:59.999,1503093600000,288.01,294.19,284.02,293.74,477.84453,1503097199999,138454.3306787,296,264.177,76362.9275342,55259.05981541,2017-08-18 22:00:00.000
2017-08-18 23:59:59.999,1503097200000,293.74,294.18,289.97,293.96,93.91956,1503100799999,27429.1614883,129,33.01474,9667.1244709,55329.57432378,2017-08-18 23:00:00.000
2017-08-19 00:59:59.999,1503100800000,293.31,297.15,293.31,295.44,86.0015,1503104399999,25343.6466098,128,75.43247,22227.4414758,55077.54974374,2017-08-19 00:00:00.000
2017-08-19 01:59:59.999,1503104400000,297.15,298.2,294.24,297.19,41.96377,1503107999999,12408.9970766,41,8.00867,2380.9797721,55124.17092500,2017-08-19 01:00:00.000
2017-08-19 02:59:59.999,1503108000000,297.19,299.84,296.56,299.84,87.48968,1503111599999,26034.9669481,84,61.56688,18339.900965,55777.31237531,2017-08-19 02:00:00.000
2017-08-19 03:59:59.999,1503111600000,298.64,298.64,292.83,293.22,66.73802,1503115199999,19668.7316982,85,36.15918,10663.4614495,55410.13905317,2017-08-19 03:00:00.000
2017-08-19 04:59:59.999,1503115200000,294.69,297.19,291.87,291.87,42.9926,1503118799999,12631.8290738,34,4.84952,1434.7150006,55052.77840996,2017-08-19 04:00:00.000
2017-08-19 05:59:59.999,1503118800000,297.17,299.9,291.87,293.23,35.01324,1503122399999,10408.6998986,28,21.05131,6294.0797216,55091.92511306,2017-08-19 05:00:00.000
2017-08-19 06:59:59.999,1503122400000,293.69,295.56,289.02,289.02,45.0222,1503125999999,13161.0973017,56,34.6058,10146.0769275,54730.83129727,2017-08-19 06:00:00.000
2017-08-19 07:59:59.999,1503126000000,289.02,292.17,287.01,290.16,112.26406,1503129599999,32485.9695133,117,92.61858,26812.3717295,54680.77887682,2017-08-19 07:00:00.000
2017-08-19 08:59:59.999,1503129600000,290.16,290.16,287.0,288.4,148.37539,1503133199999,42805.8121572,119,139.96818,40388.8690588,54613.33878121,2017-08-19 08:00:00.000
2017-08-19 09:59:59.999,1503133200000,287.66,293.17,287.66,290.3,228.92457,1503136799999,66172.7714391,137,201.37848,58169.2005905,54595.48509115,2017-08-19 09:00:00.000
2017-08-19 10:59:59.999,1503136800000,291.36,292.24,283.58,287.14,447.45268,1503140399999,129009.1127268,200,390.056,112493.3176401,57945.40593084,2017-08-19 10:00:00.000
2017-08-19 11:59:59.999,1503140400000,285.97,287.15,278.0,282.58,314.27781,1503143999999,89280.0468622,230,154.64732,44124.8864999,57773.45482767,2017-08-19 11:00:00.000
2017-08-19 12:59:59.999,1503144000000,281.39,290.85,279.56,290.85,166.32417,1503147599999,47231.8134972,161,116.25188,33015.7774577,57822.10961120,2017-08-19 12:00:00.000
2017-08-19 13:59:59.999,1503147600000,290.16,290.16,286.36,286.36,20.94515,1503151199999,6032.9378102,20,1.80514,523.7493264,58170.37790536,2017-08-19 13:00:00.000
2017-08-19 14:59:59.999,1503151200000,285.5,288.64,283.0,283.0,13.81812,1503154799999,3928.4022152,16,0.09343,26.9532452,57972.77276542,2017-08-19 14:00:00.000
2017-08-19 15:59:59.999,1503154800000,283.88,288.64,283.01,288.64,87.2125,1503158399999,24881.1094205,71,77.2118,22041.2737095,57651.86498228,2017-08-19 15:00:00.000
2017-08-19 16:59:59.999,1503158400000,288.64,290.16,286.12,286.14,61.94884,1503161999999,17856.8606991,63,30.47531,8802.9812344,58010.83488911,2017-08-19 16:00:00.000
2017-08-19 17:59:59.999,1503162000000,286.19,293.15,284.16,293.15,11.12991,1503165599999,3207.6225552,14,4.00391,1170.0910752,58016.05728270,2017-08-19 17:00:00.000
2017-08-19 18:59:59.999,1503165600000,294.33,295.0,288.95,295.0,41.13882,1503169199999,12012.2073662,70,40.70771,11885.8188475,57873.80757540,2017-08-19 18:00:00.000
2017-08-19 19:59:59.999,1503169200000,292.64,293.38,291.99,293.31,13.16832,1503172799999,3854.259244,19,6.86332,2009.177494,58020.26884135,2017-08-19 19:00:00.000
2017-08-19 20:59:59.999,1503172800000,290.6,291.85,288.8,290.31,13.80734,1503176399999,3997.3433102,28,4.74818,1375.9747742,58119.67814802,2017-08-19 20:00:00.000
2017-08-19 21:59:59.999,1503176400000,289.9,293.25,289.9,293.25,25.0304,1503179999999,7309.6488191,34,17.88308,5223.4377267,58011.71928055,2017-08-19 21:00:00.000
2017-08-19 22:59:59.999,1503180000000,293.25,294.9,290.91,290.91,35.15864,1503183599999,10298.7036194,40,17.58935,5163.0764869,57870.17979123,2017-08-19 22:00:00.000
2017-08-19 23:59:59.999,1503183600000,290.91,290.91,290.91,290.91,0.0,1503187199999,0.0,0,0.0,0.0,58005.17104565,2017-08-19 23:00:00.000
2017-08-20 00:59:59.999,1503187200000,289.41,292.42,286.91,287.0,15.54493,1503190799999,4473.7956464,13,0.00342,1.0000764,57842.32255030,2017-08-20 00:00:00.000
2017-08-20 01:59:59.999,1503190800000,287.4,290.87,285.96,289.94,17.24852,1503194399999,4961.2953979,34,12.83852,3700.2117979,57748.23219147,2017-08-20 01:00:00.000
2017-08-20 02:59:59.999,1503194400000,289.94,292.42,287.66,292.42,32.59927,1503197999999,9454.7458145,43,22.09022,6407.7518575,57553.29450080,2017-08-20 02:00:00.000
2017-08-20 03:59:59.999,1503198000000,292.42,292.42,289.47,292.41,3.0082,1503201599999,879.6437088,3,3.0082,879.6437088,57469.66676677,2017-08-20 03:00:00.000
2017-08-20 04:59:59.999,1503201600000,287.97,288.31,287.97,288.3,6.65904,1503205199999,1919.1278024,33,0.0,0.0,57439.54794903,2017-08-20 04:00:00.000
2017-08-20 05:59:59.999,1503205200000,285.39,293.15,285.39,292.17,42.89756,1503208799999,12455.2938102,69,35.46674,10305.3430064,56833.78349296,2017-08-20 05:00:00.000
2017-08-20 06:59:59.999,1503208800000,292.17,293.15,289.0,293.12,35.00818,1503212399999,10179.6216724,57,16.94475,4931.2665373,56757.92655124,2017-08-20 06:00:00.000
2017-08-20 07:59:59.999,1503212400000,293.1,295.56,287.87,292.08,167.6975,1503215999999,48972.1172044,215,148.33874,43323.5029141,57175.27023540,2017-08-20 07:00:00.000
2017-08-20 08:59:59.999,1503216000000,293.02,295.98,282.85,295.98,159.52169,1503219599999,46079.5791179,147,135.84391,39206.4857356,57556.84993214,2017-08-20 08:00:00.000
2017-08-20 09:59:59.999,1503219600000,292.59,295.96,292.59,295.96,4.86604,1503223199999,1432.2268884,10,4.86603,1432.2239625,57321.71823053,2017-08-20 09:00:00.000
2017-08-20 10:59:59.999,1503223200000,295.97,296.89,293.43,295.51,24.8355,1503226799999,7329.9544395,36,21.95775,6483.118947,57116.27569994,2017-08-20 10:00:00.000
2017-08-20 11:59:59.999,1503226800000,292.59,295.51,292.59,295.0,51.53645,1503230399999,15167.1752363,50,42.45514,12505.153631,57259.36166759,2017-08-20 11:00:00.000
2017-08-20 12:59:59.999,1503230400000,295.0,296.92,294.29,296.92,57.35344,1503233999999,16942.4455988,93,47.77132,14111.4866391,56970.37274300,2017-08-20 12:00:00.000
2017-08-20 13:59:59.999,1503234000000,296.39,296.39,292.28,293.41,6.09547,1503237599999,1788.6943893,8,5.74347,1685.8118293,56593.24127802,2017-08-20 13:00:00.000
2017-08-20 14:59:59.999,1503237600000,294.25,294.25,294.25,294.25,3.9,1503241199999,1147.575,2,2.5,735.625,55198.54141848,2017-08-20 14:00:00.000
2017-08-20 15:59:59.999,1503241200000,295.16,295.16,295.1,295.1,0.01579,1503244799999,4.660001,3,0.01579,4.660001,56732.23274455,2017-08-20 15:00:00.000
2017-08-20 16:59:59.999,1503244800000,295.1,297.92,293.28,296.46,74.02462,1503248399999,21859.2766973,105,70.21016,20736.4672255,57073.93010120,2017-08-20 16:00:00.000
2017-08-20 17:59:59.999,1503248400000,296.46,298.79,293.63,296.88,100.71171,1503251999999,29855.6459074,82,56.20018,16719.6432736,57492.62337008,2017-08-20 17:00:00.000
2017-08-20 18:59:59.999,1503252000000,296.88,300.53,295.89,298.57,41.00621,1503255599999,12212.7669738,63,35.63365,10619.1062806,57742.55897485,2017-08-20 18:00:00.000
2017-08-20 19:59:59.999,1503255600000,298.57,298.57,294.91,297.88,145.82441,1503259199999,43327.0473511,87,135.65635,40305.0523197,59347.25249404,2017-08-20 19:00:00.000
2017-08-20 20:59:59.999,1503259200000,297.87,297.88,294.51,297.27,260.07005,1503262799999,76924.2549565,177,243.21369,71930.783851,59371.69168602,2017-08-20 20:00:00.000
